Year,zipcode,PrimaryType,Count
2001,60619,BATTERY,3139
2001,60619,BURGLARY,993
2001,60619,CRIM SEXUAL ASSAULT,72
2001,60619,CRIMINAL DAMAGE,1994
2001,60619,CRIMINAL TRESPASS,320
2001,60619,DECEPTIVE PRACTICE,994
2001,60619,GAMBLING,19
2001,60619,HOMICIDE,32
2001,60619,INTERFERENCE WITH PUBLIC OFFICER,15
2001,60619,INTIMIDATION,13
2001,60619,KIDNAPPING,31
2001,60619,LIQUOR LAW VIOLATION,25
2001,60619,MOTOR VEHICLE THEFT,1177
2001,60619,NARCOTICS,869
2001,60619,OBSCENITY,1
2001,60619,OFFENSE INVOLVING CHILDREN,107
2001,60619,OTHER OFFENSE,1105
2001,60619,PROSTITUTION,136
2001,60619,PUBLIC PEACE VIOLATION,76
2001,60619,ROBBERY,942
2001,60619,SEX OFFENSE,79
2001,60619,STALKING,9
2001,60619,THEFT,3785
2001,60619,WEAPONS VIOLATION,164
2001,60620,ARSON,25
2001,60620,ASSAULT,1274
2001,60620,BATTERY,3839
2001,60620,BURGLARY,1046
2001,60620,CRIM SEXUAL ASSAULT,74
2001,60620,CRIMINAL DAMAGE,2120
2001,60620,CRIMINAL TRESPASS,409
2001,60620,DECEPTIVE PRACTICE,370
2001,60620,GAMBLING,33
2001,60620,HOMICIDE,30
2001,60620,INTERFERENCE WITH PUBLIC OFFICER,14
2001,60620,INTIMIDATION,11
2001,60620,KIDNAPPING,51
2001,60620,LIQUOR LAW VIOLATION,26
2001,60620,MOTOR VEHICLE THEFT,1034
2001,60620,NARCOTICS,1695
2001,60620,OFFENSE INVOLVING CHILDREN,116
2001,60620,OTHER OFFENSE,1234
2001,60620,PROSTITUTION,88
2001,60620,PUBLIC PEACE VIOLATION,85
2001,60620,ROBBERY,717
2001,60620,SEX OFFENSE,80
2001,60620,STALKING,11
2001,60620,THEFT,3184
2001,60620,WEAPONS VIOLATION,159
2001,60621,ARSON,45
2001,60621,ASSAULT,1317
2001,60621,BATTERY,4511
2001,60621,BURGLARY,839
2001,60621,CRIM SEXUAL ASSAULT,76
2001,60621,CRIMINAL DAMAGE,1811
2001,60621,CRIMINAL TRESPASS,275
2001,60621,DECEPTIVE PRACTICE,280
2001,60621,GAMBLING,33
2001,60621,HOMICIDE,33
2001,60621,INTERFERENCE WITH PUBLIC OFFICER,15
2001,60621,INTIMIDATION,4
2001,60621,KIDNAPPING,25
2001,60621,LIQUOR LAW VIOLATION,32
2001,60621,MOTOR VEHICLE THEFT,796
2001,60621,NARCOTICS,1282
2001,60621,OBSCENITY,1
2001,60621,OFFENSE INVOLVING CHILDREN,80
2001,60621,OTHER OFFENSE,713
2001,60621,PROSTITUTION,91
2001,60621,PUBLIC PEACE VIOLATION,63
2001,60621,ROBBERY,757
2001,60621,SEX OFFENSE,68
2001,60621,STALKING,4
2001,60621,THEFT,2288
2001,60621,WEAPONS VIOLATION,170
2001,60622,ARSON,31
2001,60622,ASSAULT,858
2001,60622,BATTERY,2342
2001,60622,BURGLARY,1274
2001,60622,CRIM SEXUAL ASSAULT,46
2001,60622,CRIMINAL DAMAGE,1870
2001,60622,CRIMINAL TRESPASS,297
2001,60622,DECEPTIVE PRACTICE,344
2001,60622,GAMBLING,10
2001,60622,HOMICIDE,21
2001,60622,INTERFERENCE WITH PUBLIC OFFICER,10
2001,60622,INTIMIDATION,6
