"","Year","zipcode","PrimaryType","Count","SurpriseRatio"
"223",2001,"60610","PUBLIC PEACE VIOLATION",37,2.1386311345443
"224",2001,"60610","ROBBERY",226,1.94800840389332
"225",2001,"60610","SEX OFFENSE",27,1.92539815139396
"226",2001,"60610","STALKING",2,1.56603265077801
"227",2001,"60610","THEFT",2300,3.68301017815247
"228",2001,"60610","WEAPONS VIOLATION",64,2.3801937527969
"229",2001,"60611","ASSAULT",170,1.13108189381793
"230",2001,"60611","BATTERY",346,0.773150710647012
"231",2001,"60611","BURGLARY",132,1.05966918713956
"232",2001,"60611","CRIM SEXUAL ASSAULT",5,0.581646307645123
"233",2001,"60611","CRIMINAL DAMAGE",200,0.747743189717639
"234",2001,"60611","CRIMINAL TRESPASS",176,2.77573567237534
"235",2001,"60611","DECEPTIVE PRACTICE",430,6.02892234681915
"236",2001,"60611","INTERFERENCE WITH PUBLIC OFFICER",1,0.514312868090146
"237",2001,"60611","INTIMIDATION",2,1.49685322182508
"238",2001,"60611","KIDNAPPING",2,0.447612056687244
"239",2001,"60611","LIQUOR LAW VIOLATION",14,1.7857998425317
"240",2001,"60611","MOTOR VEHICLE THEFT",75,0.568471698912663
"241",2001,"60611","NARCOTICS",36,0.148658154132252
"242",2001,"60611","OBSCENITY",1,10.9900539181368
"243",2001,"60611","OFFENSE INVOLVING CHILDREN",8,0.746753775394186
"244",2001,"60611","OTHER OFFENSE",237,1.668742001395
"245",2001,"60611","PROSTITUTION",30,1.0395504038065
"246",2001,"60611","PUBLIC PEACE VIOLATION",46,3.49283895434602
"247",2001,"60611","ROBBERY",79,0.894532342667064
"248",2001,"60611","SEX OFFENSE",8,0.749433914561146
"249",2001,"60611","STALKING",1,1.02862573618029
"250",2001,"60611","THEFT",2728,5.73860084909803
"251",2001,"60611","WEAPONS VIOLATION",10,0.488561124109965
"252",2001,"60612","ARSON",16,2.8380795297503
"253",2001,"60612","ASSAULT",686,3.91599179315653
"254",2001,"60612","BATTERY",2230,4.27528874981045
"255",2001,"60612","BURGLARY",379,2.61040632615316
"256",2001,"60612","CRIM SEXUAL ASSAULT",44,4.39151303280304
"257",2001,"60612","CRIMINAL DAMAGE",1013,3.24940948827396
"258",2001,"60612","CRIMINAL TRESPASS",749,10.1349073992674
"259",2001,"60612","DECEPTIVE PRACTICE",169,2.03296764811102
"260",2001,"60612","GAMBLING",29,5.56259029887488
"261",2001,"60612","HOMICIDE",16,4.29754171671335
"262",2001,"60612","INTERFERENCE WITH PUBLIC OFFICER",10,4.41265444126817
"263",2001,"60612","INTIMIDATION",9,5.77915388114476
"264",2001,"60612","KIDNAPPING",18,3.45634283566857
"265",2001,"60612","LIQUOR LAW VIOLATION",33,3.61152988418515
"266",2001,"60612","MOTOR VEHICLE THEFT",521,3.38811261150565
"267",2001,"60612","NARCOTICS",2904,10.2885784997365
"268",2001,"60612","OBSCENITY",1,9.42914580607829
"269",2001,"60612","OFFENSE INVOLVING CHILDREN",37,2.96320496275058
"270",2001,"60612","OTHER OFFENSE",519,3.13531180178507
"271",2001,"60612","PROSTITUTION",499,14.8353354443127
"272",2001,"60612","PUBLIC PEACE VIOLATION",48,3.12704762732487
"273",2001,"60612","ROBBERY",401,3.89570315582184
"274",2001,"60612","SEX OFFENSE",49,3.9383287328214
"275",2001,"60612","STALKING",3,2.6475926647609
"276",2001,"60612","THEFT",1668,3.01044174006924
"277",2001,"60612","WEAPONS VIOLATION",124,5.19772286362201
"278",2001,"60613","ARSON",5,0.614865306874094
"279",2001,"60613","ASSAULT",272,1.07644530400491
"280",2001,"60613","BATTERY",824,1.09519942425738
"281",2001,"60613","BURGLARY",373,1.78107882863925
"282",2001,"60613","CRIM SEXUAL ASSAULT",18,1.24548760768479
"283",2001,"60613","CRIMINAL DAMAGE",662,1.47217146150349
"284",2001,"60613","CRIMINAL TRESPASS",167,1.56660621314884
"285",2001,"60613","DECEPTIVE PRACTICE",254,2.11827765830229
"286",2001,"60613","GAMBLING",10,1.32979434677267
"287",2001,"60613","HOMICIDE",3,0.558633247324889
"288",2001,"60613","INTERFERENCE WITH PUBLIC OFFICER",7,2.14142744807874
"289",2001,"60613","INTIMIDATION",2,0.890342594900121
"290",2001,"60613","KIDNAPPING",6,0.798731781276958
"291",2001,"60613","LIQUOR LAW VIOLATION",35,2.6555270125839
"292",2001,"60613","MOTOR VEHICLE THEFT",259,1.16768387691164
"293",2001,"60613","NARCOTICS",268,0.658262270906637
"294",2001,"60613","OFFENSE INVOLVING CHILDREN",8,0.444176278904128
"295",2001,"60613","OTHER NARCOTIC VIOLATION",1,20.7004653314278
"296",2001,"60613","OTHER OFFENSE",354,1.48259334920261
"297",2001,"60613","PROSTITUTION",89,1.83439238084674
"298",2001,"60613","PUBLIC PEACE VIOLATION",37,1.67109211039163
"299",2001,"60613","RITUALISM",1,15.5253489985709
"300",2001,"60613","ROBBERY",166,1.1180339173636
"301",2001,"60613","SEX OFFENSE",25,1.39303266025759
"302",2001,"60613","STALKING",1,0.611836413736783
"303",2001,"60613","THEFT",1493,1.86809687740702
"304",2001,"60613","WEAPONS VIOLATION",21,0.610261729471199
"305",2001,"60614","ARSON",4,0.356501336069629
"306",2001,"60614","ASSAULT",230,0.659693318004197
"307",2001,"60614","BATTERY",683,0.657927265350713
