Year,zipcode,PrimaryType,Count,SurpriseRatio
2008,60603,LIQUOR LAW VIOLATION,4,53.34894666
2016,60602,SEX OFFENSE,10,53.0980155
2010,60610,OTHER NARCOTIC VIOLATION,2,52.98410468
2012,60610,OTHER NARCOTIC VIOLATION,2,52.98410468
2004,60604,THEFT,480,52.89795936
2004,60603,OTHER OFFENSE,128,52.72207711
2002,60604,STALKING,1,52.6020614
2015,60604,CRIMINAL TRESPASS,32,52.59384362
2006,60602,CRIMINAL TRESPASS,153,52.53573662
2013,60603,LIQUOR LAW VIOLATION,2,52.3163864
2008,60611,PUBLIC INDECENCY,1,52.20275611
2012,60602,SEX OFFENSE,11,52.1776499
2013,60603,ASSAULT,77,52.11697221
2016,60604,KIDNAPPING,1,52.08124891
2001,60603,LIQUOR LAW VIOLATION,7,52.01277878
2005,60602,STALKING,2,51.88118598
2001,60603,OTHER OFFENSE,126,51.67954342
2011,60604,THEFT,369,51.66055136
2005,60633,OTHER NARCOTIC VIOLATION,1,51.54272281
2012,60603,KIDNAPPING,1,51.54050779
2007,60603,PUBLIC PEACE VIOLATION,14,51.36948348
2014,60661,CONCEALED CARRY LICENSE VIOLATION,1,51.30591205
2006,60603,ASSAULT,109,51.10148477
2012,60604,STALKING,1,50.82324773
2002,60603,OTHER OFFENSE,136,50.74524182
2015,60603,ASSAULT,71,50.67852523
2009,60603,ASSAULT,95,50.54626589
2002,60654,PUBLIC INDECENCY,1,50.39189076
2005,60603,OTHER OFFENSE,116,50.34154921
2012,60604,THEFT,358,49.91329627
2002,60602,STALKING,2,49.80593854
2016,60603,CRIM SEXUAL ASSAULT,6,49.37845672
2003,60603,STALKING,1,49.24518153
2001,60602,INTERFERENCE WITH PUBLIC OFFICER,4,49.06989019
2005,60603,PUBLIC PEACE VIOLATION,11,49.01068066
2014,60603,BATTERY,199,48.95337151
2004,60604,STALKING,1,48.93215014
2009,60603,LIQUOR LAW VIOLATION,3,48.91511999
2007,60602,CRIMINAL TRESPASS,134,48.71885367
2008,60604,THEFT,409,48.6582452
2002,60602,PUBLIC PEACE VIOLATION,24,48.65048941
2013,60605,OTHER NARCOTIC VIOLATION,1,48.61873683
2003,60604,CRIMINAL TRESPASS,68,48.3141781
2016,60656,CONCEALED CARRY LICENSE VIOLATION,8,48.25935449
2005,60602,CRIMINAL TRESPASS,161,48.146239
2014,60604,KIDNAPPING,1,47.82005582
2007,60603,INTIMIDATION,1,47.70023466
2011,60604,PUBLIC PEACE VIOLATION,14,47.58829465
2015,60602,PUBLIC PEACE VIOLATION,23,47.31667023
2010,60604,THEFT,345,47.29106877
2005,60603,INTIMIDATION,1,47.14558077
2014,60619,HUMAN TRAFFICKING,1,46.97716412
2010,60603,ARSON,2,46.60367754
2008,60603,ASSAULT,97,46.36559533
2004,60602,STALKING,2,46.33110562
2012,60609,NON-CRIMINAL (SUBJECT SPECIFIED),1,46.19476628
2004,60603,ASSAULT,109,45.95591065
2010,60603,INTERFERENCE WITH PUBLIC OFFICER,3,45.8425622
2003,60604,SEX OFFENSE,9,45.78515983
2009,60604,INTIMIDATION,1,45.54291031
2013,60604,THEFT,309,45.4518525
2007,60657,OTHER NARCOTIC VIOLATION,6,45.43180647
2008,60604,PUBLIC PEACE VIOLATION,13,45.39175561
2005,60603,ASSAULT,101,45.38977106
2010,60603,OTHER OFFENSE,82,45.31218911
2007,60603,OTHER OFFENSE,100,45.27997557
2003,60604,OTHER OFFENSE,134,45.26070715
2002,60603,SEX OFFENSE,8,44.90469714
2004,60654,PUBLIC INDECENCY,1,44.79279178
2009,60603,OTHER OFFENSE,94,44.6613267
2001,60653,PUBLIC INDECENCY,2,44.5561574
2008,60603,OTHER OFFENSE,97,44.46784398
2013,60603,BATTERY,197,44.37200319
2002,60604,CRIMINAL TRESPASS,58,43.96137697
2016,60602,LIQUOR LAW VIOLATION,2,43.88188417
2010,60603,SEX OFFENSE,4,43.87217254
2007,60602,PUBLIC PEACE VIOLATION,29,43.57080596
2016,60626,HUMAN TRAFFICKING,4,43.49098597
2015,60656,NON-CRIMINAL,3,43.43341904
2013,60604,KIDNAPPING,1,43.2938777
2013,60603,OTHER OFFENSE,64,43.28187644
2003,60602,PUBLIC PEACE VIOLATION,21,43.04216911
2014,60602,INTIMIDATION,1,42.93615391
2002,60604,OTHER OFFENSE,133,42.92201704
2001,60603,ROBBERY,65,42.87356377
2006,60603,LIQUOR LAW VIOLATION,4,42.86717123
2013,60602,LIQUOR LAW VIOLATION,4,42.8438181
2012,60602,KIDNAPPING,2,42.20842249
2009,60604,THEFT,324,42.0962009
2002,60603,ROBBERY,64,42.02936128
2007,60611,PUBLIC INDECENCY,1,41.76220489
2016,60604,CRIMINAL TRESPASS,25,41.70133297
2003,60628,RITUALISM,1,41.52679289
2003,60620,RITUALISM,1,41.51874238
2001,60603,ASSAULT,107,41.47020465
2002,60602,INTERFERENCE WITH PUBLIC OFFICER,3,41.38997662
2007,60604,INTIMIDATION,1,41.25651875
2003,60602,STALKING,2,40.32869517
2014,60654,OTHER NARCOTIC VIOLATION,1,40.31351261
2014,60654,PUBLIC INDECENCY,1,40.31351261
2013,60604,PUBLIC PEACE VIOLATION,12,40.26952069
2007,60653,PUBLIC INDECENCY,1,40.10054166
2001,60604,CRIMINAL TRESPASS,50,39.72965363
2006,60603,PUBLIC PEACE VIOLATION,10,39.64654445
2004,60604,INTERFERENCE WITH PUBLIC OFFICER,2,39.62490501
2003,60603,ASSAULT,96,39.61399547
2005,60603,INTERFERENCE WITH PUBLIC OFFICER,2,39.55629216
2011,60604,KIDNAPPING,1,39.55042211
2014,60602,PUBLIC PEACE VIOLATION,23,39.46044045
2005,60659,PUBLIC INDECENCY,1,39.3438681
2015,60624,PROSTITUTION,330,39.28331541
2012,60603,BATTERY,190,39.08268427
2014,60604,CRIMINAL TRESPASS,28,39.07820959
